smiles,LogLD
[Cl-].[Cl-].[Ca++],3.2599220341360007
[Ca++].CCCC(CCC)C([O-])=O.CCCC(CCC)C([O-])=O,3.47330520848983
O=C1CCCCCN1,3.239646208784602
ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,3.188303928132973
CNC(=O)OC1=C2C=CC=CC2=CC=C1,2.465079555525863
ClC(Cl)(Cl)Cl,3.1860400375038664
CCC(Br)(CC)C(=O)NC(N)=O,2.6926603281021197
CC(=C)[C@H]1CC=C(C)C(=O)C1,3.365145967455473
OC1=C(O)C=CC=C1,2.5782242291529545
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,3.454295892054624
NC1=C(Cl)C(=CC(Cl)=C1)C(O)=O,3.5651905591944404
OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,1.746139128626644
ClC1CC2C(C1Cl)[C@@]3(Cl)C(=C(Cl)[C@]2(Cl)C3(Cl)Cl)Cl,2.83803283422303
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,3.694752217369791
[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O,2.560013013216559
[O-][N+](=O)C1=C(Cl)C=CC=C1,3.0403921875864435
Cc1ccc(Cl)cc1N,3.0319965220705467
CC1=C(C)C(NC2=CC(Cl)=NC(SCC(=O)NCCO)=N2)=CC=C1,3.404872649968781
ClCC(=O)C1=CC=CC=C1,2.4826991569214196
CC(=O)NC1=CC=C(C=C1)C(=O)CCl,3.0406828539719144
NC1=CC=C(Cl)C=C1,2.6886974437928974
ClC1=CC=CC=C1,3.1677354475865975
[Cl-].C[N+](C)(C)CCCl,2.3794429692382657
ClC(Cl)Cl,3.1327240823121105
Cl.ClCC1=CC=CN=C1,3.055087826237062
CN(C)C(=O)NC1=CC=C(Cl)C=C1,3.318260321216349
[O-][N+](=O)C(Cl)(Cl)Cl,2.1850841962521184
CC=CCl,3.17843885760661
ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,3.57592767891016
OC(=O)\\C=C/C([O-])=O.C[NH+](C)CCC(C1=CC=C(Cl)C=C1)C1=NC=CC=C1,2.747991260028892
CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1,3.4758520354146314
NC1=C(C=CC=C1)C(=O)OCC=CC1=CC=CC=C1,3.590299191644318
CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,3.2975202902148255
OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,3.2164371020525317
O.O.O.O.O.O.O.[Co++].[O-]S([O-])(=O)=O,2.7508998001189853
[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O,2.2215765741799722
CC(C)N1C(=O)N=C(C2=CC=CC(O)=C2)C2=C1C=C(C)C=C2,3.1686311873747184
COC1=CC=C(C)C=C1N,3.241715821493959
[NH4+].[O-]N(N=O)C1=CC=CC=C1,2.605831606868896
[Ca++].[N--]C#N,2.457499964843742
OC[C@H]1O[C@@H]2[C@@H](OC3=NC(=N)C=CN23)[C@@H]1O,3.759554535606715
O=C1CCCCC1,3.340440275316361
C1CCC(CC1)NSC1=NC2=C(S1)C=CC=C2,3.3145813988781643
[Cl-].[NH3+]C1CCCCC1,2.9208056692861755
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,3.731360721759591
CN(C)N=NC1=C(NC=N1)C(N)=O,3.2525844528017624
CN(C)NC(=O)CCC(O)=O,3.3071851539176302
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,3.556308110662648
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1,3.1572370600609587
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,3.174435071366047
ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,3.2204293306831375
CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2,2.132629808348048
[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,3.4758977655250227
CC(C)N(C(C)C)C(=O)SCC(Cl)=CCl,2.7555835090457275
C=CCOC(=O)C1=C(C=CC=C1)C(=O)OCC=C,3.173833600335332
C=CCN(CC=C)N=O,2.815871767559203
COc1ccc(N)cc1N.OS(=O)(=O)O,2.9678133013139925
Cl.Cl.NC1=CC=C(O)C(N)=C1,2.7695254014019794
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,3.333170713768859
CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C,1.8400044330057954
ClCC(Br)CBr,2.439727913069232
O[C@H](CBr)[C@H](O)[C@H](O)[C@@H](O)CBr,2.852300603648766
BrCCBr,2.030519275005976
CC(C)(NC(=O)C1=CC(Cl)=CC(Cl)=C1)C#C,3.316938075601058
Cl[C@H]1OCCO[C@@H]1Cl,3.2402345711841107
CC(F)(Cl)Cl,3.428406145290266
OC(=O)C(\\Cl)=C(\\Cl)C=O,1.9030204250596618
ClC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O,2.7682897628119485
NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,3.111601061636056
NC1=CC(Cl)=C(N)C(Cl)=C1,3.1422200848304818
OC(=O)C(Cl)Cl,3.246661002583619
ClC1=C(Cl)C=CC=C1,3.0208003938767116
ClC1=CC=C(Cl)C=C1,3.190354803504976
ClCCCl,2.2914413257097324
Oc1ccc(Cl)cc1Cl,2.9731250659632917
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,2.908428948121376
CCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,3.0689312912851436
CC(C)OC(=O)COC1=C(Cl)C=C(Cl)C=C1,3.114135242734379
ClC1=CC(Cl)=C(OS(=O)(=O)C2=CC=CC=C2)C=C1,3.348002379484716
CC(Cl)CCl,3.047100004260397
COP(=O)(OC)OC=C(Cl)Cl,1.668693935854723
OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,3.2101080347611437
CC\\C(=C(\\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,3.4397421593401085
CCNC(=S)NCC,2.839961691753985
C(OC1=CC(OCC2CO2)=CC=C1)C1CO1,3.373900081487096
O=C1CCC2=C(O1)C=CC=C2,3.073520863228623
Cl.C[C@H](CCc1ccccc1)NC[C@H](O)c2ccc(O)c(c2)C(=O)N,2.8101160402760277
CNC(=O)CSP(=S)(OC)OC,1.9483281573420261
CC1CC(OC(C)=O)OC(C)O1,3.356404661857395
COP(=S)(OC)SCCNC(C)=O,2.2385220316943277
COP(C)(=O)OC,3.475267400469416
COP(=O)(OC)N1CCOCC1,3.497782775422891
COC(=O)C1=CC=C(C=C1)C(=O)OC,3.5580066790627436
CN(C)C(C)=O,3.4727780113637934
Cl.CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,2.1392164952657016
Cl.CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,2.3950877203195216
CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,2.880862240934411
CN(C)CCO,3.307116508719099
CN(C)C1=CC=CC=C1,2.949017328477082
C[As](C)(O)=O,2.959030374561011
CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12,3.2477135206003096
CN(C)C=O,3.262170764783216
CN(C)N,2.1167540551664876
Cl.Cl.CNNC,2.133571378312448
CN(C)[N+]([O-])=O,3.122999716931206
CC(C)=CCl,3.4030181288836845
O=NN1CN2CN(C1)CN(C2)N=O,3.262099617937508
CC1=C(C=CC=C1[N+]([O-])=O)[N+]([O-])=O,2.789650715150987
Cc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],2.4087804861416737
CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,1.6233133556065704
CCCCCN(CCCCC)N=O,2.7186882658565237
Cl.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,3.2284379788725492
N#CC(C1=CC=CC=C1)C1=CC=CC=C1,3.4242566130851833
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,3.4612262052284812
[Na+].CN(CS([O-])(=O)=O)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,3.5691753329164593
CC(O)=O.CCCCCCCCCCCCNC(N)=N,3.238015535088884
OCCN1C2=CC=C(Cl)C=C2C(=NC(O)C1=O)C1=CC=CC=C1F,3.536018951531797
[Na+].[Na+].[Na+].OC(=O)CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],3.536145134615394
Cl.Cl.CC[C@H]1CN2CCC3=C(C=C(OC)C(OC)=C3)[C@@H]2C[C@@H]1C[C@H]1NCCC2=CC(OC)=C(OC)C=C12,1.9004852558107044
ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl,2.18451026835682
ClC1=C(Cl)[C@@]2(Cl)[C@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@H]3[C@]1(Cl)C2(Cl)Cl,1.1178498397808954
OS(O)(=O)=O.CN[C@@H](C)[C@H](O)C1=CC=CC=C1.CN[C@@H](C)[C@H](O)C1=CC=CC=C1,2.795960106987329
ClCC1CO1,1.890739438805259
Cl.CNC[C@H](O)C1=CC(O)=C(O)C=C1,2.641091598348048
CCC1CO1,3.0377042489985175
[Na+].OC[C@@H](O)[C@H]1OC(=O)C(O)=C1[O-],3.7817509005122063
ClC1=CC=C2N3C=NN=C3CN=C(C3=CC=CC=C3)C2=C1,3.1580400137552926
COC1=CC=C(CC=C)C=C1,3.317093527956623
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,3.42295090335773
CCC1=NC=CC(=C1)C(N)=S,2.6001651008322804
CCOC1=CC=C(NC(N)=O)C=C1,3.31591827912944
CCOC1=C(C=CC=C1)C(N)=O,3.4199030465363616
CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1,3.3933269978855236
CCOC(=O)C=C,2.71714680089913
CCO,3.6606704766944342
CCN(N=O)C(N)=O,2.546632653093845
CCC1=CC=CC=C1,3.5722756242626534
C1CO1,2.8182581138176133
C1OC1C1CCC2OC2C1,3.275471722624539
CCCCC(CC)CO,3.70035410585983
CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC,3.888689362740762
CCC(C(=O)NC(N)=O)C1=CC=CC=C1,3.1914013926178573
CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(O)=O,3.13806589956165
CC12CCC(CC1)C(C)(C)O2,3.611417997044879
COC1=C(O)C=CC(CC=C)=C1,3.086790875694369
Cl.N#CC1=CC=C(C=C1)C1CCCC2=CN=CN12,2.767845757962776
[Cl-].[Cl-].[Cl-].[Fe+3],3.03619467378851
CC(O)=O.FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1,3.0278088334918998
OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,3.1020194902760028
Cl.CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,3.095760256465555
C=O,1.912649665306669
NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O,3.6407693730736463
CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1,3.5113829802995014
[Cl-].CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C,2.3983627767374864
C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O,3.2538904877433485
[Na+].[Na+].CCN(CC1=CC(=CC=C1)S([O-])(=O)=O)C1=CC=C(C=C1)C(C1=CC=C(C=C1)S([O-])(=O)=O)=C1C=CC(C=C1)=[N+](CC)CC1=CC(=CC=C1)S([O-])(=O)=O,3.58650674455725
[Na+].[Na+].CCN(CC1=CC(=CC=C1)S([O-])(=O)=O)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC1=CC(=CC=C1)S([O-])(=O)=O)C1=C(C=C(O)C=C1)S([O-])(=O)=O,3.6038024827092996
COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC,3.4528517411724073
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,2.636654126552917
Cl[C@H]1[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,2.563703718312947
Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,2.610544610084078
Cl[C@@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@H]1Cl,2.500572025077154
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,2.713997402218856
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,2.6020019102553653
ClC(Cl)(Cl)C(Cl)(Cl)Cl,3.4439634387862217
Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,2.611113684783854
NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl,3.649885475451751
CCOC1=CC=C(NC(=O)CC(C)O)C=C1,3.504164727535596
CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,2.833129518198873
N1C=CC2=C1C=CC=C2,3.3165324084948695
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,2.737633740255778
IC(I)I,2.4943054989651863
C\\C=C1\\C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CC[N+]3([O-])CC[C@@H](OC1=O)[C@@H]23,1.8543387712629062
FC(F)OC(Cl)C(F)(F)F,2.498745122176889
OC(=O)C1=CC=NC=C1,3.2721120104661123
ClCCNP1(=O)OCCCN1CCCl,2.069499240853485
CC(C)OC(=O)NC1=CC=CC(Cl)=C1,3.4413603247999425
CC(C)OC(=O)NC1=CC=CC=C1,3.627599301412613
ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl,2.4796388418971107
CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,3.099581985332827
CO[C@@H](C)[C@@](O)(C(=O)OCC1=CCN2CC[C@H](OC(=O)C(\\C)=C/C)[C@@H]12)C(C)(C)O,1.7287880040061006
Cl.CC(C)(C)NC[C@H](O)COC1=CC=CC2=C1CCCC2=O,3.0459898482927534
CC(=C)[C@@H]1CCC(=CC1)C,3.49442371369273
Cl.CC(OC1=C(Cl)C=CC=C1Cl)C1=NCCN1,2.798297345911659
OC(=O)C1=NN(CC2=CC=C(Cl)C=C2Cl)C2=C1C=CC=C2,3.468401279562115
CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,2.46528313957311
Cl.Cl.COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,3.0860093611163406
NC1=NC(N)=NC(N)=N1,3.85790659423038
N[C@@H](Cc1ccc(cc1)N(CCCl)CCCl)C(=O)O,1.6618158070409736
[Zn++].[S-]C1=NC2=C(S1)C=CC=C2.[S-]C1=NC2=C(S1)C=CC=C2,3.1968606371858757
[Na+].[O-]S(=O)(=O)CCS,3.142157981439318
S=C1NC=NC2=C1N=CN2,3.0010102383082145
[Cl-].[Cl-].[Hg++],0.274572194670331
COC1=CC2=C(C=C1)[C@H]1CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@@H]1CC2,3.5317744067669397
CC1CN1P(=O)(N1CC1C)N1CC1C,2.4939720794294638
COC1=CC=C(C=C1)C(C1=CC=C(OC)C=C1)C(Cl)(Cl)Cl,3.3339112263496604
COC1=CC=C(O)C=C1,3.1835825193832767
COC1=C2OC(=O)C=CC2=CC2=C1OC=C2,2.5312164024657164
CN(N=O)C1=CC=C(C=C1)N=O,2.382909651829972
COC(=O)C(C)=C,3.6437583911534173
COS(C)(=O)=O,2.2598022934036788
CN(N=O)C(=N)N[N+]([O-])=O,2.4286972000408444
C[C@@H]1CCCCN1N=O,2.578856070180396
C[C@H]1CCCCN1N=O,2.575026023336261
COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],2.0995617351087263
CN1CCCC1=O,3.2771406715220617
CC(O)C1=CC=CC=C1,3.4239671224738855
Cl.CNCCC1=CC(OC(=O)C(C)C)=C(OC(=O)C(C)C)C=C1,2.991673127910277
NC1=C(Cl)C=C(CC2=CC(Cl)=C(N)C=C2)C=C1,3.2055192883612325
ClCCl,3.253215843532712
CNN,1.6448853594096788
CC1=C2C=CC=CC2=CC=C1,3.407453699426961
CC1=CC=C(C=C)C=C1,3.393970121341732
CC1=CC(=O)NC(=S)N1,3.4178684568874798
CN1CCN(CC1)C1=NC2=CC=CC=C2SC2=C1C=C(C)C=C2,3.0641796126046077
CC1=NC=C(N1CCO)[N+]([O-])=O,3.3458484612655006
CNC(=O)OC1=CC(C)=C(N(C)C)C(C)=C1,1.7009348644715117
ClC12C3(Cl)C4(Cl)C5(Cl)C(Cl)(C1(Cl)C4(Cl)Cl)C2(Cl)C(Cl)(Cl)C35Cl,2.489274636459721
CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O,1.9177307108545005
OC(=O)CCl,1.6333714782455662
C[C@H]1C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@](C)(O)[C@]1(C)O)[C@H]23,1.5571302782268899
[Na+].NC(CCC([O-])=O)C(O)=O,3.6891322169541922
[Na+].N[C@@H](CCC(O)=O)C([O-])=O,3.9382266799378662
