,true,AFP,MPNN,RF,SVR
0,2.957682227,3.0168924,3.1944094603958195,3.014176794848292,3.0575695535092384
1,1.611626262,1.4834412,2.140256377787985,1.750479307997222,1.7902530017238905
2,1.924011387,1.8177028,2.2965170460809943,1.9520219937752565,2.0243634732042577
3,2.532970595,2.6563807,2.6671929083939703,2.4901156248660055,2.517381964728425
4,1.793378211,1.8790591,1.6985602918063545,1.7650785184365723,1.7427049856401222
5,2.406205105,2.515352,2.5657294537781614,2.4612456733883836,2.3066226253958124
6,2.116431258,2.3423834,2.7374143591212463,2.5118474303086007,2.6357610010510166
7,2.575524985,3.1009738,2.5220403836729965,2.6257643962793424,2.475226068042997
8,1.491494465,1.5456423,1.6051304123207988,1.5130160731218787,1.535971482705277
9,3.826645492,4.132002,4.141404338438425,3.4536771795091314,3.726848102163902
10,2.184927125,2.1488552,2.0792198801261397,2.0782283074593657,2.206250617779843
11,1.578885386,1.6535094,1.606733481153127,1.672348553319045,1.6398900887628713
12,1.364006386,1.2431762,1.7223172986553519,1.7280846377932517,1.4913436677788694
13,1.462881443,1.8093474,1.8891988999902138,1.7749288718560912,1.6601945517355532
14,2.924776487,3.0431914,2.8593463490925792,2.9246752001842116,2.824937871225951
15,2.158094799,2.1226425,1.968523794470272,1.895674842364033,1.7919182496871489
16,1.811674285,2.0569391,1.9112315425172186,1.9818180695040384,2.170033038085111
17,2.501247468,2.156245,2.5009329202685224,2.2774334930577225,2.400960908723441
18,3.051405371,2.989709,3.3653311909559087,3.0538226308379883,2.951444299232587
19,2.553995486,2.9859307,2.2642844056474494,2.114834884694715,1.8985107459432018
20,3.685079186,4.344359,3.7497943377983782,3.237615964899167,3.585037967253085
21,2.264589774,2.1232402,2.080025000533259,2.316549327314198,2.318554993111035
22,2.581464049,2.6215334,2.618584892616073,2.5176468584255782,2.5406205088310094
23,2.550763973,2.7889125,2.558264663928531,2.620680037478096,2.650785728129461
24,2.444020336,2.32268,2.786749297145846,2.4149023391477153,2.544129157633076
25,3.752823103,4.078567,3.6637139075117826,3.6112883989021887,3.8526251760998207
26,2.33293262,2.0230317,1.838482256093168,2.0328046353946463,2.0186174677766404
27,2.06278826,2.0669138,2.0850709871337183,1.943338202694535,2.0168177181861875
28,3.151563131,3.47503,2.897178448964079,2.709189247407559,2.3085640645823897
29,2.315505149,2.147895,2.667453795779703,2.4487354117790097,2.415498299293885
30,3.128920013,3.1127436,2.8296525117296047,3.0518651271698167,3.1035838693735553
31,2.672615567,2.7174926,2.3158081003664526,2.416982434289963,2.375210461406261
32,4.68613705,4.868567,4.6200530927288135,4.517985580053095,4.695194808097639
33,2.143258279,2.166044,1.934639844464768,2.1659260769204733,1.967840612809652
34,2.774590978,2.8556423,2.5634394321019625,2.5318788815137725,2.674289927984009
35,1.318516557,1.6268699,1.9965231594942485,1.596921120527858,1.4186811268306785
36,2.430758757,2.36568,2.4414905264616187,2.292669438062526,2.3304974648380874
37,3.452962319,3.1319804,3.291500086968666,3.3171856890606266,3.3525931677064857
38,2.168130477,1.8403623,1.9675329616118868,1.9377313845380022,2.0471244722263933
39,1.720504866,1.5831431,2.147817217227456,1.9578470230893896,2.1660029269809224
40,2.352057788,2.5626678,2.397968085511878,2.537675393741095,2.4520965039973306
41,1.442398919,1.5253026,2.1046959900987217,1.8653654435744182,1.8500787204144686
42,1.853160834,1.7962077,1.7280778135848707,1.8180121598637302,1.7531390397939874
43,2.639232777,2.7855406,2.5485807607931856,2.700192568607751,2.5584171573811365
44,4.65683897,4.3126674,2.7478650361181005,3.5094721792402592,2.8659311885039487
