,true,MLP,RF,SVR
0,2.957682227,3.0502151313503756,3.0071878088400017,3.105730015788173
1,1.611626262,1.520879486062141,1.6112641866999988,1.530628820617319
2,1.924011387,1.8331081346935034,1.8799485125399997,1.8560032384230012
3,2.532970595,2.613747725500132,2.586479877759998,2.5828887377226724
4,1.793378211,1.8042688430316993,1.8001896860800017,1.768343126362204
5,2.406205105,2.4826463206279468,2.381579242639998,2.3942978406905606
6,2.116431258,2.4036703554221064,2.2731587503700026,2.540450100940304
7,2.575524985,2.961219990855212,2.843749464519999,2.8864707291558007
8,1.491494465,1.48450795409543,1.4760997434599994,1.4802422640175181
9,3.826645492,4.029841745862691,3.926354978810004,4.036685516820546
10,2.184927125,2.119480578892033,2.1667803661000007,2.1844345180209785
11,1.578885386,1.6090460847017414,1.5828531834099986,1.6165974017745635
12,1.364006386,1.3089006468924618,1.3691817359,1.380100060502098
13,1.462881443,1.7479821291056785,1.5123710250399989,1.6518700853069128
14,2.924776487,3.023750806259195,2.898423600700001,2.9647053008189856
15,2.158094799,2.0160205155505793,2.0453663786299994,1.8386420997135546
16,1.811674285,2.0269964521497124,1.9167894619900006,2.1350038912923
17,2.501247468,2.191117709001131,2.4377433827500012,2.307180147570161
18,3.051405371,3.0288357376817223,3.032852102909997,3.041181117133178
19,2.553995486,2.7027393775875073,2.550425314129998,2.6536196732652337
20,3.685079186,4.11937579203351,3.8394561076599967,4.0366406087854525
21,2.264589774,2.1657289350403297,2.30302618777,2.2805300350263105
22,2.581464049,2.596876895691721,2.572589830140003,2.5826893732188343
23,2.550763973,2.752447429740048,2.6256023971899975,2.7280573406269575
24,2.444020336,2.3583895253883718,2.434594247159998,2.465983349619273
25,3.752823103,4.037631700985736,3.805558111040006,3.9831227020100894
26,2.33293262,1.997631573941336,2.2192532267100007,2.0295019029458494
27,2.06278826,2.0102361737487016,2.026943526569998,1.9879817543152103
28,3.151563131,3.2347929010010876,3.230690673729996,3.422391577938667
29,2.315505149,2.2253206693477505,2.3154630689099975,2.285771630687889
30,3.128920013,3.131566448025706,3.1436938569100015,3.155271802749965
31,2.672615567,2.6255803713856327,2.5696934922700017,2.5212629557876114
32,4.68613705,4.903800115603407,4.7159996266200075,4.833211246063458
33,2.143258279,2.1259385504977093,2.0998971163200015,2.0328473566761573
34,2.774590978,2.783531417037251,2.7394240115599984,2.7500905408523315
35,1.318516557,1.5511864332545364,1.40021996213,1.3985736387128505
36,2.430758757,2.3386996748474034,2.410539471970003,2.3279898564247947
37,3.452962319,3.2323421612892793,3.4076232863699976,3.3340904266274096
38,2.168130477,1.8475367699765062,2.1161438478200023,1.9496951151586208
39,1.720504866,1.6787050182291232,1.685174879779999,1.7999718446511725
40,2.352057788,2.5485860887472596,2.4332668908599984,2.5111679790591346
41,1.442398919,1.582929120987665,1.5246373188799993,1.6125054311902893
42,1.853160834,1.757201790357175,1.828187135359998,1.7531690252189545
43,2.639232777,2.7579818238181053,2.6519834249899965,2.6915271161934213
44,4.65683897,4.077877656185757,4.472288897610003,4.338751627979162
45,2.903536014,2.6914936244743983,2.9307469441599987,2.7704375206361367
46,4.5399576,4.350472695769468,4.435519097069994,4.255810326205457
47,2.183236664,1.9994814978626039,2.1690272253799994,2.1232391431759816
48,1.740211005,1.9269329579712418,1.7376388491199994,1.7876424440519796
49,2.166197037,2.206252232839624,2.1333337478399987,2.1134678245793728
50,3.324299607,3.033469314803681,3.181802839109999,2.971307801088936
51,3.406989792,3.286761403929864,3.3753666885399958,3.3592459547800457
52,1.761506865,1.7100915606908902,1.6902483905800005,1.6317199156694273
53,3.537918969,3.358962895427345,3.4228866514899967,3.23396634823814
54,2.740011244,2.094506461555472,2.4971904274599974,2.280349784103077
55,1.890500553,1.9408686580513446,1.8955236540500016,2.214529654978567
56,3.062150642,3.075086009731826,3.0590170091500033,3.106828261302243
57,4.507969435,4.888190749574721,4.516648344180005,4.727584387975764
58,2.928656721,2.6229395009774112,2.862962177960002,2.7557441214375604
59,2.317933911,2.1628740870095857,2.248307466880002,2.2017072534409756
60,1.280393888,1.4870750872679301,1.3584682060900015,1.5414688670022816
61,3.597273989,3.2441662488187393,3.5911319783599938,3.43558703965083
62,2.642664529,2.465559061046783,2.62723420096,2.5505237118464503
63,2.140606235,2.3216821819338267,2.185262702160003,2.2627863112045965
64,2.433339725,2.4100935311757143,2.406280511659999,2.376189604410599
65,2.007507885,2.035183399171325,2.010125394899998,1.9847022390015194
