,cas,smiles,LogLD
60,1980-05-07 00:00:00,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,3.51188336097887
61,2519-30-4,[Na+].[Na+].[Na+].[Na+].CC(=O)NC1=C2C(O)=C(\\N=N\\C3=C4C=C(C=CC4=C(C=C3)\\N=N\\C3=CC=C(C=C3)S([O-])(=O)=O)S([O-])(=O)=O)C(=CC2=C(C=C1)S([O-])(=O)=O)S([O-])(=O)=O,3.69897000433601
62,1937-37-7,[Na+].[Na+].NC1=CC(N)=C(C=C1)N=NC1=CC=C(C=C1)C1=CC=C(C=C1)N=NC1=C(C=C2C=C(C(N=NC3=CC=CC=C3)=C(O)C2=C1N)S([O-])(=O)=O)S([O-])(=O)=O,3.88081359228079
63,2602-46-2,[Na+].[Na+].[Na+].[Na+].NC1=CC(=CC2=CC(=C(N=NC3=CC=C(C=C3)C3=CC=C(C=C3)N=NC3=C(C=C4C=C(C=C(N)C4=C3O)S([O-])(=O)=O)S([O-])(=O)=O)C(O)=C12)S([O-])(=O)=O)S([O-])(=O)=O,3.94250410616808
64,28407-37-6,[Na+].[Na+].[Na+].[Na+].[Cu++].[Cu++].NC1=CC(=CC2=CC(=C(N=NC3=CC=C(C=C3[O-])C3=CC([O-])=C(C=C3)N=NC3=C(C=C4C=C(C=C(N)C4=C3[O-])S([O-])(=O)=O)S([O-])(=O)=O)C([O-])=C12)S([O-])(=O)=O)S([O-])(=O)=O,3.51719589794997
65,860-22-0,[Na+].[Na+].[O-]S(=O)(=O)C1=CC=C2NC(C(=O)C2=C1)=C1NC2=CC=C(C=C2C1=O)S([O-])(=O)=O,3.30102999566398
66,75-27-4,ClC(Cl)Br,2.63346845557958
67,74-96-4,CCBr,3.130333768495
68,16071-86-6,[Na+].[Na+].[Cu++].OC1=CC=C(N=NC2=C([O-])C=CC(=C2)S([O-])(=O)=O)C([O-])=C1N=NC1=CC=C(C=C1)C1=CC=C(C=C1)N=NC1=CC(C([O-])=O)=C(O)C=C1,4.08134730780413
69,51333-22-3,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,3.5051499783199
70,106-99-0,C=CC=C,3.73878055848436
71,75-65-0,CC(C)(C)O,3.43822580760452
72,85-68-7,CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1,3.36735592102601
73,3817-11-06 00:00:00,CCCCN(CCCCO)N=O,3.2552725051033
74,869-01-2,CCCCN(N=O)C(=O)N,2.60205999132796
75,128-37-0,CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,2.94939000664491
76,1948-33-0,CC(C)(C)C1=CC(O)=CC=C1O,2.84509804001425
77,98-54-4,CC(C)(C)C1=CC=C(O)C=C1,3.46996920949995
78,592-31-4,CCCCNC(N)=O,3.09864372581705
79,3068-88-0,CC1CC(=O)O1,4.25919236510534
80,96-48-0,O=C1CCCO1,3.18752072083646
81,543-90-8,[Cd++].CC([O-])=O.CC([O-])=O,2.52244423350632
82,10108-64-2,[Cl-].[Cl-].[Cd++],1.94448267215016
83,10124-36-4,[Cd++].[O-]S([O-])(=O)=O,2.44715803134221
84,1958-08-02 00:00:00,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.28330122870354
85,50-14-6,[H][C@@]1(CC[C@@]2([H])\\C(CCC[C@]12C)=C\\C=C1\\C[C@@H](O)CCC1=C)[C@H](C)\\C=C\\[C@H](C)C(C)C,1.0
86,10043-52-4,[Cl-].[Cl-].[Ca++],3.0
87,33433-82-8,[Ca++].CCCC(CCC)C([O-])=O.CCCC(CCC)C([O-])=O,3.475089803389
88,105-60-2,O=C1CCCCCN1,3.08278537031645
89,2425-06-01 00:00:00,ClC(Cl)C(Cl)(Cl)SN1C(=O)[C@@H]2CC=CC[C@@H]2C1=O,3.39794000867203
90,133-06-2,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,3.95424250943932
91,63-25-2,CNC(=O)OC1=C2C=CC=CC2=CC=C1,2.36172783601759
92,56-23-5,ClC(Cl)(Cl)Cl,3.37106786227173
93,77-65-6,CCC(Br)(CC)C(=O)NC(N)=O,2.4996870826184
94,2244-16-8,CC(=C)[C@H]1CC=C(C)C(=O)C1,3.55164514265461
95,120-80-9,OC1=C(O)C=CC=C1,2.41497334797081
96,474-25-9,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,3.60205999132796
97,302-17-0,OC(O)C(Cl)(Cl)Cl,2.68033551341456
98,133-90-4,NC1=C(Cl)C(=CC(Cl)=C1)C(O)=O,3.54406804435027
99,305-03-3,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,1.88081359228079
