,true,AFP,GAT,MPNN,DNN,RF,SVR
0,1.611626262,1.7575711,1.8158689,1.891133119404052,1.6033136,1.7740383662830193,1.7115608978638743
1,1.924011387,1.7760935,2.4279757,2.102507892117691,1.9017726,1.956421628858799,2.0242104415095223
2,1.793378211,1.6636683,1.7212142,1.6102109608008601,1.706105,1.7911614332275256,1.7445243462628848
3,2.406205105,2.622793,2.5140767,2.395920810800822,2.3734956,2.48121981357947,2.3064697472954783
4,2.575524985,2.6085317,2.2323143,2.4627827374004334,2.7953265,2.441590201521273,2.475456197565484
5,1.491494465,1.4512538,1.5641834,1.5221931688856438,1.4173311,1.5475354647256767,1.5530413254184285
6,2.379425047,2.4339483,2.8010685,2.524007125161028,2.2548807,2.3984894426570005,2.479439357810778
7,4.193280471,4.3478785,3.968499,4.337685614448356,3.9652843,3.6010764937818767,3.572989593576672
8,1.568680157,1.9222184,2.4210973,1.9259677425265718,1.5200367,2.096926614916138,1.66830770661814
9,1.578885386,1.5311675,1.5931097,1.4397654000243465,1.5477118,1.5651056675479533,1.478753328612357
10,1.364006386,1.381251,2.2018547,2.006737383138712,1.2642463,1.7114170785419567,1.5332237400397166
11,1.462881443,1.8231822,2.2206602,2.0563829882297053,1.4617423,1.9300855287826668,1.6822909720205343
12,2.924776487,3.0398202,2.6715815,2.761307623044536,2.8350003,3.010075090370542,2.8245002701421535
13,2.158094799,2.2571537,1.5808967,1.6794243435330012,2.1396546,1.900585809482276,1.7104673600718283
14,1.811674285,1.8206332,1.5340873,1.9638529068729138,1.8442107,2.0267544094509033,2.184421621279995
15,2.501247468,2.4659133,2.1456141,2.705869592547257,2.3576622,2.2651531716127074,2.49492418371999
16,3.051405371,3.0125122,3.2986605,3.2159797375686576,2.814277,3.03514236102154,2.9511326387628873
17,3.685079186,3.661747,3.1362402,3.283097404973666,3.5713387,3.15631038633073,3.584813781773814
18,2.264589774,2.0798905,2.2705362,2.1187286470556055,2.248683,2.292952380449528,2.2964829187979987
19,2.581464049,2.6522381,2.323333,2.5921413472525967,2.5401425,2.5750597592342244,2.5752445446976653
20,2.550763973,2.5102105,2.500904,2.637615460808513,2.3566852,2.458368283496006,2.457164503864763
